tag,threshold,balanced_accuracy,positive_rate
ensemble_avg_top3,0.22999999999999982,0.5573750896485776,0.9176470588235294
ensemble_avg_top3,0.23099999999999982,0.5562514941429596,0.9161764705882353
ensemble_avg_top3,0.23199999999999982,0.5562514941429596,0.9161764705882353
ensemble_avg_top3,0.23299999999999982,0.5551278986373416,0.9147058823529411
ensemble_avg_top3,0.23399999999999982,0.5551278986373416,0.9147058823529411
ensemble_avg_top3,0.23499999999999982,0.5572555582118097,0.913235294117647
ensemble_avg_top3,0.23599999999999982,0.5571360267750418,0.9088235294117647
ensemble_avg_top3,0.23699999999999982,0.55926368634951,0.9073529411764706
ensemble_avg_top3,0.2379999999999998,0.5581400908438919,0.9058823529411765
ensemble_avg_top3,0.2389999999999998,0.5570164953382739,0.9044117647058824
ensemble_avg_top3,0.2399999999999998,0.554769304327038,0.9014705882352941
ensemble_avg_top3,0.2409999999999998,0.5568969639015061,0.9
ensemble_avg_top3,0.2419999999999998,0.5590246234759741,0.8985294117647059
ensemble_avg_top3,0.2429999999999998,0.5642840066937604,0.8926470588235295
ensemble_avg_top3,0.2439999999999998,0.5642840066937604,0.8926470588235295
ensemble_avg_top3,0.2449999999999998,0.5664116662682286,0.8911764705882353
ensemble_avg_top3,0.2459999999999998,0.5685393258426966,0.8897058823529411
ensemble_avg_top3,0.2469999999999998,0.5674157303370787,0.888235294117647
ensemble_avg_top3,0.2479999999999998,0.5674157303370787,0.888235294117647
ensemble_avg_top3,0.2489999999999998,0.5695433899115467,0.8867647058823529
ensemble_avg_top3,0.2499999999999998,0.5695433899115467,0.8867647058823529
ensemble_avg_top3,0.2509999999999998,0.5694238584747788,0.8823529411764706
ensemble_avg_top3,0.2519999999999998,0.5683002629691609,0.8808823529411764
ensemble_avg_top3,0.2529999999999998,0.5683002629691609,0.8808823529411764
ensemble_avg_top3,0.2539999999999998,0.570427922543629,0.8794117647058823
ensemble_avg_top3,0.2549999999999998,0.5725555821180971,0.8779411764705882
ensemble_avg_top3,0.2559999999999998,0.5756873057614152,0.8735294117647059
ensemble_avg_top3,0.2569999999999998,0.5799426249103514,0.8705882352941177
ensemble_avg_top3,0.2579999999999998,0.5820702844848196,0.8691176470588236
ensemble_avg_top3,0.2589999999999998,0.5841979440592876,0.8676470588235294
ensemble_avg_top3,0.2599999999999998,0.5841979440592876,0.8676470588235294
ensemble_avg_top3,0.2609999999999998,0.5894573272770739,0.861764705882353
ensemble_avg_top3,0.2619999999999998,0.5883337317714559,0.8602941176470589
ensemble_avg_top3,0.2629999999999998,0.5989720296437964,0.8529411764705882
ensemble_avg_top3,0.2639999999999998,0.5999760937126465,0.85
ensemble_avg_top3,0.2649999999999998,0.5999760937126465,0.85
ensemble_avg_top3,0.2659999999999998,0.6084867320105187,0.8441176470588235
ensemble_avg_top3,0.2669999999999998,0.6106143915849869,0.8426470588235294
ensemble_avg_top3,0.2679999999999998,0.6106143915849869,0.8426470588235294
ensemble_avg_top3,0.2689999999999998,0.612742051159455,0.8411764705882353
ensemble_avg_top3,0.2699999999999998,0.6169973703083911,0.8382352941176471
ensemble_avg_top3,0.2709999999999998,0.6158737748027732,0.836764705882353
ensemble_avg_top3,0.2719999999999998,0.6168778388716232,0.8338235294117647
ensemble_avg_top3,0.2729999999999998,0.6157542433660053,0.8323529411764706
ensemble_avg_top3,0.2739999999999998,0.6167583074348554,0.8294117647058824
ensemble_avg_top3,0.2749999999999998,0.6167583074348554,0.8294117647058824
ensemble_avg_top3,0.2759999999999998,0.6188859670093234,0.8279411764705882
ensemble_avg_top3,0.2769999999999998,0.6231412861582596,0.825
ensemble_avg_top3,0.27799999999999975,0.6220176906526417,0.8235294117647058
ensemble_avg_top3,0.27899999999999975,0.6230217547214918,0.8205882352941176
ensemble_avg_top3,0.27999999999999975,0.6230217547214918,0.8205882352941176
ensemble_avg_top3,0.28099999999999975,0.62615347836481,0.8161764705882353
ensemble_avg_top3,0.28199999999999975,0.62615347836481,0.8161764705882353
ensemble_avg_top3,0.28299999999999975,0.6304087975137461,0.8132352941176471
ensemble_avg_top3,0.28399999999999975,0.6346641166626823,0.8102941176470588
