blend_name,models,weights,method,oof_bal_acc,best_threshold,test_pos_rate,changed_vs_anchor,diff_pct_vs_anchor,file_path
wavg_ensemble_avg_top3_ensemble_avg_top5_ensemble_threshold_vote_logreg_full,ensemble_avg_top3|ensemble_avg_top5|ensemble_threshold_vote|logreg_full,0.09|0.45|0.18|0.27,weighted_avg,0.7845804446569449,0.5979999999999995,0.36363636363636365,1,0.022727272727272728,
wavg_ensemble_stacking_lr_ensemble_threshold_vote_logreg_full,ensemble_stacking_lr|ensemble_threshold_vote|logreg_full,0.25|0.25|0.50,weighted_avg,0.7845804446569449,0.6189999999999994,0.36363636363636365,1,0.022727272727272728,
wavg_ensemble_avg_top3_ensemble_avg_top5_ensemble_threshold_vote_logreg_full,ensemble_avg_top3|ensemble_avg_top5|ensemble_threshold_vote|logreg_full,0.18|0.36|0.18|0.27,weighted_avg,0.7845804446569449,0.5999999999999995,0.36363636363636365,1,0.022727272727272728,
wavg_ensemble_avg_top3_ensemble_stacking_lr_ensemble_threshold_vote_logreg_full,ensemble_avg_top3|ensemble_stacking_lr|ensemble_threshold_vote|logreg_full,0.09|0.45|0.36|0.09,weighted_avg,0.784460913220177,0.6349999999999995,0.3409090909090909,0,0.0,
wavg_ensemble_avg_top3_ensemble_stacking_lr_ensemble_threshold_vote,ensemble_avg_top3|ensemble_stacking_lr|ensemble_threshold_vote,0.00|0.75|0.25,weighted_avg,0.784460913220177,0.6159999999999994,0.3409090909090909,0,0.0,
wavg_ensemble_stacking_lr_ensemble_threshold_vote,ensemble_stacking_lr|ensemble_threshold_vote,0.75|0.25,weighted_avg,0.784460913220177,0.6159999999999994,0.3409090909090909,0,0.0,
wavg_ensemble_avg_top3_logreg_full_catboost_B_2_full_allseeds,ensemble_avg_top3|logreg_full|catboost_B_2_full_allseeds,0.20|0.40|0.40,weighted_avg,0.7842935692087019,0.5649999999999995,0.38636363636363635,2,0.045454545454545456,
wavg_ensemble_avg_top3_ensemble_stacking_lr_logreg_full_catboost_B_2_full_allseeds,ensemble_avg_top3|ensemble_stacking_lr|logreg_full|catboost_B_2_full_allseeds,0.18|0.27|0.36|0.18,weighted_avg,0.784174037771934,0.5689999999999995,0.36363636363636365,1,0.022727272727272728,
wavg_ensemble_avg_top3_logreg_full,ensemble_avg_top3|logreg_full,0.50|0.50,weighted_avg,0.784174037771934,0.5919999999999995,0.38636363636363635,2,0.045454545454545456,
avg_ensemble_avg_top3_logreg_full,ensemble_avg_top3|logreg_full,equal,avg,0.784174037771934,0.5919999999999995,0.38636363636363635,2,0.045454545454545456,stage3_submissions/submission_blend_avg_ensemble_avg_top3_logreg_full.csv
wavg_ensemble_avg_top3_ensemble_stacking_lr_ensemble_avg_top5_logreg_full_catboost_B_2_full_allseeds,ensemble_avg_top3|ensemble_stacking_lr|ensemble_avg_top5|logreg_full|catboost_B_2_full_allseeds,0.10|0.20|0.10|0.30|0.30,weighted_avg,0.7839349748983984,0.5669999999999995,0.36363636363636365,1,0.022727272727272728,
wavg_ensemble_stacking_lr_ensemble_avg_top5_logreg_full,ensemble_stacking_lr|ensemble_avg_top5|logreg_full,0.00|0.60|0.40,weighted_avg,0.7838154434616305,0.5959999999999995,0.36363636363636365,1,0.022727272727272728,
wavg_logreg_full_catboost_B_2_full_allseeds,logreg_full|catboost_B_2_full_allseeds,0.60|0.40,weighted_avg,0.7838154434616305,0.6099999999999995,0.36363636363636365,1,0.022727272727272728,
wavg_ensemble_avg_top3_ensemble_stacking_lr_logreg_full_ensemble_weighted,ensemble_avg_top3|ensemble_stacking_lr|logreg_full|ensemble_weighted,0.30|0.10|0.40|0.20,weighted_avg,0.7838154434616305,0.6119999999999995,0.3409090909090909,0,0.0,
wavg_ensemble_avg_top3_ensemble_stacking_lr_logreg_full_ensemble_weighted,ensemble_avg_top3|ensemble_stacking_lr|logreg_full|ensemble_weighted,0.30|0.20|0.40|0.10,weighted_avg,0.7838154434616305,0.6079999999999995,0.36363636363636365,1,0.022727272727272728,
wavg_ensemble_stacking_lr_ensemble_avg_top5_logreg_full,ensemble_stacking_lr|ensemble_avg_top5|logreg_full,0.10|0.45|0.45,weighted_avg,0.7838154434616305,0.6089999999999995,0.36363636363636365,1,0.022727272727272728,
